mapping, replan, sfc, mpc, df, 
8.18594, 0.000271, 0.004036, 0.951956, 0.042207, 
0, 0.000514, 0.008633, 0.648318, 0.05118, 
0, 0.000199, 0.004115, 0.634778, 0.047526, 
0, 0.000408, 0.007255, 0.86405, 0.063697, 
0, 0.000323, 0.006382, 0.683229, 0.046724, 
0, 0.000185, 0.003717, 0.586295, 0.040889, 
0, 0.000301, 0.003327, 0.62367, 0.044262, 
0, 0.00026, 0.00341, 0.684738, 0.05121, 
0, 9.2e-05, 0.003052, 0.462551, 0.0313, 
0, 0.000293, 0.006464, 0.280752, 0.02083, 
0, 0.00024, 0.006136, 0.306561, 0.021732, 
0, 5e-05, 0.001008, 0.171773, 0.015141, 
0, 9e-05, 0.001415, 0.270444, 0.019582, 
0, 9.5e-05, 0.000669, 0.165652, 0.025123, 
0, 7.4e-05, 0.001454, 0.261089, 0.021794, 
0, 7.4e-05, 0.001587, 0.262004, 0.019918, 
0, 0.000114, 0.001322, 0.190745, 0.015792, 
0, 0.000291, 0.004619, 0.237343, 0.01214, 
0, 6e-05, 0.000777, 0.214371, 0.008263, 
0, 0.000187, 0.002627, 0.625796, 0.13376, 
0, 0.000152, 0.001589, 0.521914, 0.026946, 
0, 0.000164, 0.002558, 0.566714, 0.028644, 
0, 0.000254, 0.003595, 0.67829, 0.048014, 
0, 0.000217, 0.003532, 0.658862, 0.051811, 
0, 0.00034, 0.006613, 0.601285, 0.041793, 
0, 0.000322, 0.006423, 0.559928, 0.038406, 
0, 0.000371, 0.006623, 0.572742, 0.039265, 
0, 0.000332, 0.003976, 0.743758, 0.044036, 
0, 0.000168, 0.003882, 0.665561, 0.05072, 
0, 0.000317, 0.00596, 0.53652, 0.036646, 
0, 0.000184, 0.004557, 0.725486, 0.051989, 
0, 0.000321, 0.006165, 0.594895, 0.041448, 
0, 0.000261, 0.006129, 0.572886, 0.03711, 
0, 0.000265, 0.004583, 0.694338, 0.052013, 
0, 0.00039, 0.006652, 0.63624, 0.063339, 
0, 0.000191, 0.003319, 0.572104, 0.044978, 
0, 0.000268, 0.00334, 0.637689, 0.050024, 
0, 0.000167, 0.004054, 0.761916, 0.0431, 
0, 0.00016, 0.003433, 0.644462, 0.045422, 
0, 0.000305, 0.004849, 0.598722, 0.042219, 
0, 0.000114, 0.003457, 0.650634, 0.038595, 
0, 0.000281, 0.003851, 0.632797, 0.045757, 
0, 0.000257, 0.003386, 0.583084, 0.041975, 
0, 0.00015, 0.004023, 0.723649, 0.042974, 
0, 0.000216, 0.003136, 0.595451, 0.045596, 
0, 0.000175, 0.003248, 0.590545, 0.037934, 
0, 0.000502, 0.005131, 0.603607, 0.047636, 
0, 0.000232, 0.005039, 0.749596, 0.056729, 
0, 0.000365, 0.003177, 0.671174, 0.056174, 
0, 0.000209, 0.002804, 0.620106, 0.043948, 
0, 0.000198, 0.002789, 0.589402, 0.041058, 
0, 0.000389, 0.00455, 0.55404, 0.040083, 
0, 0.000186, 0.004507, 0.776715, 0.054604, 
0, 0.000336, 0.002395, 0.590597, 0.051303, 
0, 0.000149, 0.001435, 0.444616, 0.017723, 
0, 0.000365, 0.005193, 0.684895, 0.02019, 
0, 0.000262, 0.003129, 0.585267, 0.042709, 
0, 0.000454, 0.004649, 0.536633, 0.03062, 
0, 0.000201, 0.00256, 0.625089, 0.041907, 
0, 0.000325, 0.004917, 0.559379, 0.034395, 
0, 0.000211, 0.003906, 0.678437, 0.043625, 
0, 0.000389, 0.006298, 0.55706, 0.037642, 
0, 0.000186, 0.003817, 0.770701, 0.052542, 
0, 0.00043, 0.006656, 0.791292, 0.046461, 
0, 0.000103, 0.003247, 0.623656, 0.050195, 
0, 0.00032, 0.006011, 0.600231, 0.052423, 
0, 0.00012, 0.003689, 0.728101, 0.053073, 
0, 0.000316, 0.0061, 0.546326, 0.036316, 
0, 0.000313, 0.005329, 0.540152, 0.037672, 
0, 0.000135, 0.002862, 0.574564, 0.034166, 
0, 0.000136, 0.00174, 0.318218, 0.020054, 
0, 9.4e-05, 0.001467, 0.282064, 0.024703, 
0, 0.000339, 0.005233, 0.253013, 0.02057, 
0, 0.0001, 0.00414, 0.289035, 0.019729, 
0, 0.000329, 0.003535, 0.207802, 0.011212, 
0, 0.000167, 0.001695, 0.279758, 0.021749, 
0, 0.000366, 0.003913, 0.224675, 0.029417, 
0, 0.000122, 0.001713, 0.260712, 0.027713, 
0, 0.000116, 0.00151, 0.271829, 0.020519, 
0, 0.000335, 0.004767, 0.21986, 0.01422, 
0, 5.3e-05, 0.001546, 0.265566, 0.019003, 
0, 0.000114, 0.001543, 0.264113, 0.022079, 
0, 0.00036, 0.00528, 0.201887, 0.013774, 
0, 0.000173, 0.001309, 0.23587, 0.023292, 
0, 7.9e-05, 0.001329, 0.254022, 0.016264, 
0, 5.8e-05, 0.000782, 0.218338, 0.013153, 
0, 0.000254, 0.004762, 0.254418, 0.01669, 
0, 0.000126, 0.001523, 0.258296, 0.021553, 
0, 8.7e-05, 0.001522, 0.263221, 0.022852, 
0, 0.000289, 0.004892, 0.228145, 0.012078, 
0, 0.000251, 0.006284, 0.256646, 0.015934, 
0, 6.5e-05, 0.002458, 0.415154, 0.057341, 
0, 0.000342, 0.004284, 0.634381, 0.042404, 
0, 0.000409, 0.005008, 0.604457, 0.035512, 
0, 0.000325, 0.004789, 0.664514, 0.052064, 
0, 0.00015, 0.003193, 0.670983, 0.044073, 
0, 0.000222, 0.003194, 0.596362, 0.047721, 
0, 0.000495, 0.005022, 0.608605, 0.055689, 
0, 0.000192, 0.00387, 0.68654, 0.050636, 
0, 0.000249, 0.004092, 0.69593, 0.041218, 
0, 0.000138, 0.003694, 0.661534, 0.05355, 
0, 0.000365, 0.007015, 0.765203, 0.053709, 
0, 0.00027, 0.004364, 0.682291, 0.057972, 
0, 9.7e-05, 0.001678, 0.326633, 0.026917, 
0, 0.000364, 0.004694, 0.776987, 0.076005, 
0, 0.000389, 0.005473, 0.606512, 0.04382, 
0, 0.000511, 0.003661, 0.633813, 0.050069, 
0, 0.000306, 0.003836, 0.674463, 0.049699, 
0, 0.000143, 0.004129, 0.684686, 0.050061, 
0, 0.000178, 0.002675, 0.548914, 0.040617, 
0, 0.000121, 0.004201, 0.716065, 0.047778, 
0, 0.000368, 0.004058, 0.714091, 0.052016, 
0, 0.000439, 0.006156, 0.621708, 0.037882, 
0, 0.000211, 0.002791, 0.698023, 0.051807, 
0, 0.000224, 0.003804, 0.682235, 0.051434, 
0, 0.000297, 0.00582, 0.556921, 0.039374, 
0, 0.000105, 0.003778, 0.664197, 0.067758, 
0, 0.000296, 0.004653, 0.671365, 0.205384, 
0, 0.000171, 0.003883, 0.596663, 0.046524, 
0, 0.000206, 0.002607, 0.615254, 0.044669, 
0, 0.000209, 0.004077, 0.775235, 0.088617, 
0, 0.000442, 0.005651, 0.665313, 0.039672, 
0, 0.000321, 0.006015, 0.54748, 0.079559, 
0, 0.000312, 0.005469, 0.616588, 0.041276, 
0, 0.000187, 0.00372, 0.653239, 0.04313, 
0, 0.000234, 0.003488, 0.66521, 0.04113, 
0, 0.000218, 0.003573, 0.587009, 0.057148, 
0, 0.000188, 0.002246, 0.369469, 0.034273, 
0, 0.000225, 0.003758, 0.645349, 0.052175, 
0, 0.000314, 0.005001, 0.673102, 0.0485, 
0, 0.00019, 0.004604, 0.786845, 0.053902, 
0, 0.00026, 0.003588, 0.67508, 0.052533, 
0, 0.000187, 0.003626, 0.566449, 0.04745, 
0, 0.000115, 0.003308, 0.666152, 0.050598, 
0, 0.00043, 0.005251, 0.540343, 0.043032, 
0, 0.000178, 0.003788, 0.732189, 0.041732, 
0, 0.000173, 0.003417, 0.777166, 0.049148, 
0, 0.000222, 0.004211, 0.658824, 0.040504, 
0, 0.000195, 0.003487, 0.660289, 0.050486, 
0, 0.000326, 0.005306, 0.652429, 0.052551, 
0, 0.000263, 0.003731, 0.719479, 0.041975, 
0, 0.00031, 0.004675, 0.665554, 0.041465, 
0, 0.000149, 0.003253, 0.633302, 0.041317, 
0, 0.000505, 0.003746, 0.721643, 0.049145, 
0, 0.000155, 0.003388, 0.628658, 0.049775, 
0, 0.000387, 0.005499, 0.533141, 0.037516, 
0, 0.000225, 0.003591, 0.604639, 0.048263, 
0, 0.000254, 0.00375, 0.739706, 0.045071, 
0, 0.000266, 0.004088, 0.693112, 0.049332, 
0, 0.00039, 0.006491, 0.685219, 0.053101, 
0, 0.000408, 0.006325, 0.624938, 0.044981, 
0, 0.00018, 0.002896, 0.586888, 0.037655, 
0, 0.000164, 0.003578, 0.709238, 0.048734, 
0, 0.000312, 0.003664, 0.794662, 0.049396, 
0, 0.000309, 0.005217, 0.577275, 0.040992, 
0, 0.000169, 0.003729, 0.695112, 0.050485, 
0, 0.000142, 0.00411, 0.605507, 0.042931, 
0, 0.000398, 0.005591, 0.60008, 0.039421, 
0, 0.000322, 0.003728, 0.724561, 0.053337, 
0, 0.000153, 0.003436, 0.694163, 0.049068, 
0, 0.000228, 0.003463, 0.63257, 0.04829, 
0, 0.0001, 0.003029, 0.589403, 0.031819, 
0, 0.000412, 0.005638, 0.523901, 0.043234, 
0, 0.000108, 0.003617, 0.672512, 0.043425, 
0, 0.000181, 0.002461, 0.476832, 0.033007, 
0, 0.000189, 0.003791, 0.630175, 0.045031, 
0, 0.000165, 0.003138, 0.498638, 0.041784, 
0, 0.000131, 0.002863, 0.610716, 0.038427, 
0, 0.000117, 0.00389, 0.727212, 0.052614, 
0, 0.00021, 0.002733, 0.588591, 0.043467, 
0, 0.000401, 0.006032, 0.60965, 0.041628, 
0, 0.003957, 0.003636, 0.723406, 0.042227, 
0, 0.000233, 0.003274, 0.660265, 0.043977, 
0, 0.000186, 0.003519, 0.601643, 0.040889, 
0, 0.000153, 0.003058, 0.477215, 0.034183, 
0, 0.000555, 0.006368, 0.60106, 0.042558, 
0, 0.000178, 0.003551, 0.620265, 0.048087, 
0, 0.000187, 0.003375, 0.580605, 0.041379, 
0, 0.00033, 0.006589, 0.678593, 0.049175, 
